Image;Jaccard Index Axial;Jaccard Index Coronal;Jaccard Index Sagittal;Panoptic Quality Axial;Panoptic Quality Coronal;Panoptic Quality Sagittal;Dice Coefficient Axial;Dice Coefficient Coronal;Dice Coefficient Sagittal
BraTS20_Training_121;0.9276296496391296;0.8797539472579956;0.9484543800354004;0.7529984366711624;0.7534057760191581;0.754058225963739;0.9241036269430052;0.8690602523287349;0.9477774409568165
BraTS20_Training_122;0.8764951229095459;0.8241530656814575;0.9280204772949219;0.7542609587628188;0.7543385508006097;0.7546874127779157;0.860676936916676;0.79031859718449;0.9234876929495203
BraTS20_Training_123;0.8567798733711243;0.8094621300697327;0.8988741636276245;0.7549944328922262;0.7551823600051002;0.7556613912974322;0.8385946274093186;0.7753865572735879;0.8937626182127297
BraTS20_Training_124;0.8677396774291992;0.8017159104347229;0.8862982988357544;0.7560625543010879;0.7562263952688768;0.756776189999794;0.8564629529475392;0.7709838907610496;0.8818413075599019
BraTS20_Training_125;0.8221374750137329;0.797094464302063;0.6065280437469482;0.7568523426750544;0.7569797586819644;0.7560052938375722;0.7908674248854184;0.7571465528392187;0.40968097966048245
BraTS20_Training_126;0.7082802653312683;0.8277248740196228;0.7441433668136597;0.75578343600256;0.7559512382094118;0.7558537210363844;0.5999206978588422;0.8001810206781313;0.6717881782584374
BraTS20_Training_127;0.8222717046737671;0.7780701518058777;0.8108788132667542;0.7559013249249722;0.7558108397571084;0.7558390362429573;0.7867072111207646;0.7205455828172768;0.7701019252548131
BraTS20_Training_129;0.6559885740280151;0.0;0.6363565921783447;0.7556594367191427;0.0;0.7552434808890058;0.4875641149714507;0.0;0.4506202290076336
BraTS20_Training_130;0.7129695415496826;0.8390538096427917;0.712471067905426;0.754879315233099;0.7551011909866391;0.754526402330475;0.6163335415365396;0.8230899135151732;0.6312380874305741
BraTS20_Training_131;0.8415067195892334;0.678721010684967;0.6316362023353577;0.7545572626727407;0.7543621452378462;0.7540283736527046;0.8145146767513056;0.541805164919458;0.439354565782317
BraTS20_Training_132;0.8711233735084534;0.7989858388900757;0.8086824417114258;0.7542382291682452;0.7542077002019298;0.7541321444303896;0.8561621893734841;0.7588212067913421;0.7729325481411901
BraTS20_Training_134;0.7735669016838074;0.0;0.0;0.7540135062036186;0.0;0.0;0.7204481792717087;0.0;0.0
BraTS20_Training_136;0.5606287121772766;0.6794306039810181;0.0;0.7533286272434934;0.7531181708920831;0.0;0.2628664965577006;0.5477352596641937;0.0
BraTS20_Training_137;0.9141249060630798;0.8551763296127319;0.8599673509597778;0.7535407379880332;0.7537183167533454;0.7538990760387603;0.9104170284551837;0.8399002493765586;0.8474672162615425
BraTS20_Training_138;0.6797671318054199;0.6788871884346008;0.7075182199478149;0.753541178561999;0.7530782990734981;0.7527348333683124;0.566811175337187;0.5653796469068466;0.6278851766037602
BraTS20_Training_139;0.7558579444885254;0.7572309970855713;0.8270135521888733;0.7526491118868133;0.752609933071583;0.752783875923051;0.6810897435897436;0.686883135459877;0.794390972452705
BraTS20_Training_140;0.8990969657897949;0.8348917961120605;0.8494085669517517;0.7531131172124731;0.7532489499721347;0.7535539785445992;0.8912310613399466;0.8130089399108499;0.8338995691083858
BraTS20_Training_142;0.7812332510948181;0.7329616546630859;0.6973401308059692;0.7535773260435759;0.75348727251718;0.7532511120563022;0.7240632445310808;0.6445545997958886;0.5777070984530865
BraTS20_Training_143;0.8899858593940735;0.8764276504516602;0.0;0.7535705394141252;0.7540759649742834;0.0;0.8851551022475894;0.8734055326382862;0.0
BraTS20_Training_144;0.6460831761360168;0.868719220161438;0.7509182691574097;0.7532336522827876;0.7533166713294144;0.75305593888616;0.49284330451377845;0.8601697747476773;0.6959512996424775
BraTS20_Training_145;0.9138551354408264;0.8574180603027344;0.8711920976638794;0.7534641161792348;0.7536864544803683;0.7539078247955895;0.908896551724138;0.8405310351383036;0.8590160381447768
BraTS20_Training_146;0.8643409609794617;0.8536721467971802;0.8604981899261475;0.7541459643229851;0.7543477775178693;0.7546240033187528;0.8481872815114497;0.8357374061154583;0.8459266169154229
BraTS20_Training_150;0.6801676750183105;0.7522785067558289;0.7127526998519897;0.7540342916192888;0.7539150680011024;0.7535674827147213;0.5711793820726948;0.690267928589167;0.6283754430090317
BraTS20_Training_151;0.8593534231185913;0.0;0.0;0.753839247925012;0.0;0.0;0.8432660292635245;0.0;0.0
BraTS20_Training_152;0.9233934879302979;0.6639898419380188;0.6721090078353882;0.7541924147515275;0.7535666358928774;0.7530314147945053;0.919822955029226;0.5259898973439792;0.5540757014050987
BraTS20_Training_153;0.9095982313156128;0.8503994345664978;0.8499488830566406;0.7532488110220554;0.7534198003484842;0.7535811653064635;0.9018656716417911;0.8284392814886522;0.8279309619027573
BraTS20_Training_154;0.7260757684707642;0.6109781861305237;0.9599316120147705;0.7526508144063244;0.7512067623311769;0.7519491297525716;0.6452049156229788;0.46419033746054866;0.9612842577192856
BraTS20_Training_155;0.6613656282424927;0.6282290816307068;0.7779601812362671;0.7516359234364115;0.7509946566868025;0.7508627558171008;0.5078666519969194;0.45121875194813293;0.73486833626874
BraTS20_Training_156;0.9138133525848389;0.7706394195556641;0.8562085628509521;0.7511940800665879;0.7511884844204779;0.7514542076563446;0.9087977567472836;0.7197112535689274;0.8432751016005701
BraTS20_Training_157;0.5606173276901245;0.0;0.0;0.7506886703059312;0.0;0.0;0.28319498724201414;0.0;0.0
BraTS20_Training_161;0.9308867454528809;0.8367706537246704;0.8833058476448059;0.7510430299309914;0.7511502663117471;0.7513981243927985;0.9274788902291918;0.8105806085269484;0.8725214456475883
BraTS20_Training_162;0.8352081775665283;0.762233316898346;0.7079571485519409;0.7513735060618303;0.7511516956827071;0.7508114952900999;0.8099743960814872;0.7099212455870372;0.617496139092313
BraTS20_Training_163;0.8787055015563965;0.0;0.6312891244888306;0.7510907014001178;0.0;0.7502515693391091;0.8694864595598225;0.0;0.4774616171954964
BraTS20_Training_164;0.7667593359947205;0.0;0.0;0.7502756460633808;0.0;0.0;0.7121364686370906;0.0;0.0
BraTS20_Training_165;0.0;0.6637098789215088;0.7213802933692932;0.0;0.7495796498071079;0.7492341703969783;0.0;0.5376921312227575;0.6424945953567065
BraTS20_Training_166;0.8816789388656616;0.7184784412384033;0.6599582433700562;0.7493865865180839;0.7491871743290021;0.7485762133959794;0.8718744048104916;0.6378333178481836;0.5479722102987233
