Image;Perspective;Segmented;Similarity;Area Original Mask;Area Mask
BraTS20_Training_037;Sagittal;True;0.1507617808698254;15845.0;9066.5
BraTS20_Training_038;Coronal;False;0.0;0.0;0.0
BraTS20_Training_038;Axial;False;0.0;0.0;0.0
BraTS20_Training_038;Sagittal;True;0.2995782660836824;32000.0;7157.0
BraTS20_Training_039;Coronal;True;0.2635041082910517;16955.0;12247.0
BraTS20_Training_039;Axial;True;0.1058986848116037;11439.5;6579.5
BraTS20_Training_039;Sagittal;True;0.055428641569572557;14143.5;7653.0
BraTS20_Training_040;Coronal;True;0.1037481828286752;20270.5;16000.0
BraTS20_Training_040;Axial;True;0.058027494175159566;20830.0;15362.5
BraTS20_Training_040;Sagittal;True;0.7991309434716861;28101.0;12877.5
BraTS20_Training_041;Coronal;True;0.1732574090353157;23277.0;13516.0
BraTS20_Training_041;Axial;True;0.21590460602655454;13050.5;10841.0
BraTS20_Training_041;Sagittal;True;1.0395451404249454;20175.5;6931.0
BraTS20_Training_042;Coronal;True;46.971936568091294;25074.0;5422.0
BraTS20_Training_042;Axial;True;0.19090685571502664;13493.0;11864.5
BraTS20_Training_042;Sagittal;True;0.03893892555720402;22932.0;18204.0
BraTS20_Training_043;Coronal;True;0.8919550868194849;8499.0;3242.0
BraTS20_Training_043;Axial;False;0.0;0.0;0.0
BraTS20_Training_043;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_044;Coronal;True;0.2617711469498778;3797.5;969.0
BraTS20_Training_044;Axial;False;0.0;0.0;0.0
BraTS20_Training_044;Sagittal;True;0.6634440826142021;4276.0;562.5
BraTS20_Training_045;Coronal;True;0.47911588075263456;27645.5;17785.5
BraTS20_Training_045;Axial;False;0.0;0.0;0.0
BraTS20_Training_045;Sagittal;True;0.24097231921864312;37106.5;21136.0
BraTS20_Training_046;Coronal;False;0.0;0.0;0.0
BraTS20_Training_046;Axial;False;0.0;0.0;0.0
BraTS20_Training_046;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_047;Coronal;True;0.1881705666175535;36028.5;24570.0
BraTS20_Training_047;Axial;False;0.0;0.0;0.0
BraTS20_Training_047;Sagittal;True;0.5620186010341334;27845.5;9412.5
BraTS20_Training_048;Coronal;True;0.12754063201115462;4286.0;3388.5
BraTS20_Training_048;Axial;True;1.4003233000075366;3041.5;1048.5
BraTS20_Training_048;Sagittal;True;1.2850777173318564;4498.5;1253.5
BraTS20_Training_049;Coronal;True;0.12620033654927953;7230.0;5735.5
BraTS20_Training_049;Axial;True;0.045959179658869254;5091.0;3518.0
BraTS20_Training_049;Sagittal;True;0.06961724653566004;8058.0;5387.5
BraTS20_Training_050;Coronal;True;0.6072450003139945;31053.0;6878.0
BraTS20_Training_050;Axial;True;0.08639411912566039;20141.5;16431.0
BraTS20_Training_050;Sagittal;True;0.09301262631460999;33759.5;25829.0
BraTS20_Training_051;Coronal;True;0.16444018539079258;12086.0;5311.5
BraTS20_Training_051;Axial;True;0.13045050435253575;9959.5;6749.5
BraTS20_Training_051;Sagittal;True;0.11671351037540462;15167.0;11168.0
BraTS20_Training_052;Coronal;True;0.3458106664299679;11894.5;9907.0
BraTS20_Training_052;Axial;True;0.07717696523330561;8428.0;6825.0
BraTS20_Training_052;Sagittal;True;0.1021449658023379;15027.0;11474.5
BraTS20_Training_053;Coronal;True;0.7135260606737498;15727.5;6240.0
BraTS20_Training_053;Axial;True;0.12123314674316643;8816.0;7725.0
BraTS20_Training_053;Sagittal;True;0.25245817249903113;13973.5;8558.5
BraTS20_Training_054;Coronal;True;0.17505702619944288;22888.0;10678.5
BraTS20_Training_054;Axial;True;0.19431274491035777;17026.5;6647.5
BraTS20_Training_054;Sagittal;True;0.21886417927898114;32537.0;11408.0
BraTS20_Training_055;Coronal;True;0.5579360612221336;12828.5;7289.0
BraTS20_Training_055;Axial;True;0.046168815831871546;8672.0;5291.0
BraTS20_Training_055;Sagittal;True;0.033829652371673374;12537.5;6845.0
BraTS20_Training_056;Coronal;False;0.0;0.0;0.0
BraTS20_Training_056;Axial;True;5.20487267662501;18489.5;11114.5
BraTS20_Training_056;Sagittal;True;0.40232774869970855;32257.0;14360.5
