X;Y;Mean;Standard Deviation
230;468;49,57717642560439;45,038940218640256
231;234;51,06501005405206;47,53146563610717
231;235;51,08287639619681;47,561681633683065
231;236;51,10528163159742;47,595271591708396
231;468;49,510950933564914;45,03055841770228
232;231;50,97576983178601;47,361344366954064
232;232;50,99196144436473;47,394909628536205
232;233;51,00358897907349;47,42361063866747
232;468;49,430257380378;45,01583525515562
233;229;50,90722367914321;47,22731589514495
233;230;50,928318502889645;47,262201349145144
233;468;49,34893845833622;45,00020456120269
234;228;50,85749574573201;47,135963115309835
234;468;49,26916143793115;44,99129522815387
235;228;50,81645928118548;47,06159725492957
235;468;49,195948989846485;44,98233800564851
236;227;50,782904455346234;46,97818300036442
236;468;49,12461684994372;44,97963350455747
237;226;50,75097864282723;46,87519677699495
237;469;49,03268358550012;44,97148020707356
238;226;50,73209771003474;46,80743933317489
238;470;48,95660227115358;44,961389250861686
238;471;48,94046567990998;44,95844186633297
238;472;48,92403310134691;44,955922277737606
238;473;48,913003583732966;44,95633399486275
239;225;50,70364921076054;46,714957466934656
239;474;48,85307515111627;44,945495400452806
239;475;48,82893961963488;44,929866211835986
240;224;50,660560110280784;46,62600713267101
240;476;48,77674950608298;44,927537482723274
240;477;48,76935741023153;44,93104869229865
241;224;50,61326447404186;46,54578312196092
241;478;48,70721220527046;44,92076577305149
242;224;50,594858156028366;46,502808441914354
242;479;48,66196547835892;44,91673990229729
242;480;48,65309875772087;44,912363299376224
242;481;48,64677402561344;44,910922506916165
243;224;50,55979036776001;46,43928869736331
243;482;48,612382771795765;44,90475926721895
244;224;50,52205776173285;46,37339603722747
244;483;48,583473832409226;44,897996851397934
244;484;48,57793268896461;44,89618394004943
245;224;50,49369759264268;46,31580771909751
245;485;48,55411918225315;44,88932723057103
246;224;50,4637916126243;46,242399113903886
246;486;48,53480759185095;44,88111250225125
247;224;50,436985832838296;46,17249060587071
247;487;48,51138799337806;44,871083636262355
248;224;50,42130345646153;46,11315660366577
248;487;48,493076869419646;44,85665787107499
249;224;50,39074037476869;46,048573441513255
249;487;48,49077870640169;44,85752718667093
250;224;50,348136584665625;45,98607063601624
250;486;48,48482150650258;44,85439207758514
250;487;48,482690595485415;44,85261465497458
251;224;50,299326189025486;45,92793884305653
251;478;48,4851393567078;44,85448219283884
251;479;48,47770989701519;44,84866312353363
251;485;48,476091512399584;44,85084573414551
252;224;50,24264442694538;45,85808226918792
252;476;48,48230528833563;44,853374715013516
252;477;48,47915211621735;44,85155808519738
252;480;48,47156729190681;44,84828403642004
252;481;48,45005154729245;44,82600447252193
252;482;48,467318777292576;44,8495661847416
252;483;48,46410104115715;44,84716809635818
252;484;48,46493710691824;44,8490755893081
253;224;50,18536393536394;45,797693287157344
253;474;48,47045057631855;44,847899701334306
253;475;48,45005154729245;44,82600447252193
254;223;50,11168038274096;45,72334131970101
254;473;48,45956287017139;44,84799384771755
255;223;50,02299199115281;45,64191384189945
255;473;48,43799499973775;44,83787825199411
256;223;49,979497684360524;45,61294062787867
256;472;48,441858024799316;44,84711090387676
257;222;49,9071203573526;45,55298192688079
257;465;48,440451206715636;44,84586486621861
257;466;48,43951584691807;44,84550308042873
257;467;48,43999370288093;44,8479895639719
257;468;48,436607892527284;44,8465275335621
257;469;48,421768350309776;44,8299252226213
257;470;48,43984462486002;44,85039115256419
257;471;48,435203331700144;44,84760579804432
258;222;49,83927523604616;45,5090062832579
258;462;48,421768350309776;44,8299252226213
258;463;48,44063970884149;44,850380763773074
258;464;48,4365430716198;44,84835701376614
259;222;49,76682833235623;45,46448926365591
259;460;48,436962876096125;44,851794995158045
259;461;48,43559087646822;44,852748958823774
260;222;49,6815019875071;45,41227315131436
260;457;48,43017982525258;44,85329410440754
260;458;48,42649505297259;44,851713517583185
260;459;48,430375091934295;44,856348475862205
261;221;49,58733450311055;45,364155576592914
261;454;48,42866150558728;44,85780379945865
261;455;48,41498160154197;44,84388686799249
261;456;48,43123926982236;44,86140486945603
262;221;49,51315509915014;45,321833531409
262;453;48,426899150092;44,86397000885937
263;221;49,43987263399965;45,271360234037545
263;454;48,42553788423434;44,86832845516901
264;221;49,38294411936288;45,22253460953339
264;455;48,43540350877193;44,874852911007395
265;221;49,335595496880686;45,17886626904909
265;456;48,44907057976865;44,88378855113162
266;221;49,291953779285485;45,14140391199279
266;456;48,467440553545714;44,88970970367038
267;221;49,24612231918878;45,11098700659834
267;457;48,486480788488905;44,89722962704187
268;221;49,19587064413006;45,07519357783948
268;458;48,506220129322465;44,90029793839148
269;220;49,14624757195833;45,04723182546307
269;458;48,53917674353206;44,897361911740816
270;219;49,093667802354936;45,02032521031065
270;459;48,57686830863351;44,90555864067049
271;219;49,033243343391035;44,99826729157582
271;460;48,61198150199574;44,903182937017625
272;219;48,99551957100774;44,992366524686375
272;460;48,65664028144239;44,89631436340467
273;219;48,92539234702874;44,95157945407067
273;461;48,70961102021428;44,92189853540069
274;219;48,87314037932737;44,94887692588352
274;461;48,76472658793713;44,92450178007652
275;219;48,687750596131764;44,76403875327293
275;462;48,687750596131764;44,76403875327293
276;219;48,767612946373575;44,92283806924689
276;463;48,873563420996966;44,948607533015625
277;218;48,7174750620151;44,923544756111895
277;464;48,930908000775915;44,95502095033729
277;465;48,92820992117375;44,95317203484036
278;218;48,654649056471044;44,89513943649643
278;466;48,99380821337849;44,99147511269405
279;218;48,62537365922279;44,90053003897699
279;466;49,03908317747115;45,00260516210115
280;217;48,58903459429054;44,905274024430376
280;467;49,093667802354936;45,02032521031065
281;217;48,546098542776285;44,89057035425314
281;468;49,1388947740113;45,04557373577625
282;217;48,51778621392668;44,89332000847541
282;468;49,189473684210526;45,06982246042855
283;218;48,49638960628261;44,897354780407326
283;469;49,22878691535961;45,09996462789081
284;218;48,485498462889765;44,89539597042114
284;470;49,271432861660216;45,12779474799839
285;219;48,46375513644505;44,8881789846256
285;470;49,31545189504373;45,16419323830548
286;220;48,44841325563435;44,882115906072286
286;470;49,36143662619085;45,202482237347084
287;220;48,43750986963311;44,87587805961505
287;471;49,40355437665782;45,24179649455019
288;221;48,42509468368635;44,86952101902266
288;471;49,465707612273064;45,28892904668081
289;221;48,42548156976846;44,864901470882224
289;471;49,5368933758413;45,337049662564965
290;221;48,42774303183196;44,85985609872613
290;471;49,61279341890646;45,377799589207434
291;221;48,43085516178736;44,85429808751701
291;472;49,68134227711528;45,41241094822151
292;222;48,4365430716198;44,84835701376614
292;473;49,753579167998865;45,45461708122131
293;222;48,44408498732185;44,847988703938725
293;474;49,81221892386725;45,491105493703515
294;223;48,454232489864395;44,84757495439413
294;475;49,8681738944822;45,52850869120698
294;476;49,84060420595666;45,497175035580156
294;477;49,84784734942116;45,511515758650155
295;223;48,45005154729245;44,82600447252193
295;237;48,50156914708138;44,865555114756205
295;238;48,50010459886336;44,86200391265381
295;239;48,504732191100345;44,86581025454039
295;240;48,51256404000976;44,87262522250871
295;478;49,89749430523918;45,54627682121805
295;479;49,88939304969839;45,542207274280514
296;224;48,47770989701519;44,84866312353363
296;235;48,51138799337806;44,871083636262355
