Image;Perspective;Segmented;Similarity;Area Original Mask;Area Mask;Difference Between Masks;Percentage Over Original Mask Total Area
BraTS20_Training_050;Coronal;True;0,5324476495908811;31053.0;7874.0;23269;74,08857897920845
BraTS20_Training_050;Axial;True;0,08885719761458602;20141.5;16531.0;4109;20,119473143025022
BraTS20_Training_050;Sagittal;True;0,08932280867488629;33759.5;26566.0;7463;21,848468879911
BraTS20_Training_051;Coronal;True;0,13699392935655008;12086.0;5613.5;6616;53,39790153349475
BraTS20_Training_051;Axial;True;0,11554105382044128;9959.5;6882.0;3120;30,735888089843368
BraTS20_Training_051;Sagittal;True;0,10931192563385161;15167.0;11237.0;4103;26,407929458711465
BraTS20_Training_052;Coronal;True;0,2707073650236343;11894.5;10872.5;2998;24,756399669694467
BraTS20_Training_052;Axial;True;0,07394331787465361;8428.0;7077.0;1720;20,020952159236412
BraTS20_Training_052;Sagittal;True;0,10147960676256434;15027.0;11570.5;3582;23,456224215833934
BraTS20_Training_053;Coronal;True;0,16919699586304965;15727.5;9593.5;6260;39,05908778935546
BraTS20_Training_053;Axial;True;0,12494530361952205;8816.0;7900.0;1217;13,537263626251391
BraTS20_Training_053;Sagittal;True;0,24787389201775045;13973.5;8732.0;5485;38,421126365928835
BraTS20_Training_054;Coronal;True;0,11938448641458271;22888.0;12315.5;10727;46,143588420011184
BraTS20_Training_054;Axial;True;0,0907845002509037;17026.5;7759.5;9404;54,22047970479705
BraTS20_Training_054;Sagittal;True;0,19009755297032702;32537.0;11935.0;20780;63,01934857766726
BraTS20_Training_055;Coronal;True;0,12463775119222459;12828.5;9989.5;3138;23,910393172813166
BraTS20_Training_055;Axial;True;0,06102458590607207;8672.0;5571.0;3322;37,22545943523084
BraTS20_Training_055;Sagittal;True;0,03488938881071907;12537.5;6912.5;5888;45,512870062611114
BraTS20_Training_056;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_056;Axial;True;4,12428953658119;18489.5;11961.0;9493;50,27805730628674
BraTS20_Training_056;Sagittal;True;0,3486704643105684;32257.0;15012.5;17643;53,673450762069905
BraTS20_Training_057;Coronal;True;0,25329751762930475;9868.0;11962.5;662;6,5746350183732245
BraTS20_Training_057;Axial;True;0,06666857116044583;5859.5;3706.0;2173;36,25896879692975
BraTS20_Training_057;Sagittal;True;0,09528355618083134;11366.5;8741.0;2669;23,044379209117597
BraTS20_Training_058;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_058;Axial;False;0;0.0;0.0;0;0
BraTS20_Training_058;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_059;Coronal;True;0,16433480533271233;2817.0;1887.5;995;33,6262250760392
BraTS20_Training_059;Axial;True;0,06673234713244747;2161.5;1108.0;1079;48,08377896613191
BraTS20_Training_059;Sagittal;True;0,04233210216225733;3422.5;1746.0;1804;49,848024316109424
BraTS20_Training_060;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_060;Axial;True;0,2259507134505397;14520.0;3862.0;10784;73,19622615896287
BraTS20_Training_060;Sagittal;True;0,16268206462014637;21145.0;15046.5;6578;30,532862978091345
BraTS20_Training_061;Coronal;True;1,1228915033694382;11186.0;19235.0;765;6,714060031595577
BraTS20_Training_061;Axial;True;0,1109065248112959;6633.0;5623.0;1282;18,908554572271385
BraTS20_Training_061;Sagittal;True;0,136342640001492;11604.0;8709.0;3453;29,245362920301517
BraTS20_Training_062;Coronal;True;0,01614615179569051;24752.0;20906.0;3986;15,867202738744476
BraTS20_Training_062;Axial;True;0,03209162858154396;17852.5;14879.5;2994;16,54692163148005
BraTS20_Training_062;Sagittal;True;0,030806610344265545;23873.5;19205.0;4854;19,983532317826267
BraTS20_Training_063;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_063;Axial;True;0,21703630541992397;2400.5;1405.0;1285;51,19521912350598
BraTS20_Training_063;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_064;Coronal;False;0;0.0;0.0;0;0
BraTS20_Training_064;Axial;True;0,21534670664167727;26528.0;15126.5;11532;42,83326523790068
BraTS20_Training_064;Sagittal;False;0;0.0;0.0;0;0
BraTS20_Training_065;Coronal;True;0,04224628139568212;4620.5;4236.5;604;12,745304916649083
BraTS20_Training_065;Axial;True;0,1120726270965125;3472.0;3439.5;293;8,184357541899441
BraTS20_Training_065;Sagittal;True;0,07575551537986835;4016.0;3100.0;929;22,504844961240313
BraTS20_Training_066;Coronal;True;0,045288225992650255;14304.5;7643.0;6969;47,602459016393446
BraTS20_Training_066;Axial;True;0,12794921957556615;10882.5;6311.5;4943;44,347748071056884
BraTS20_Training_066;Sagittal;True;0,8931737923999921;15339.5;3118.5;12387;79,01888236795101
BraTS20_Training_067;Coronal;True;0,16896816490128372;31595.5;15467.0;16943;52,7572785302818
